QualifyingScene.js:493 Car Position - X: 926, Y: 1176, Rotation: -60
QualifyingScene.js:493 Car Position - X: 840, Y: 1150, Rotation: -60
QualifyingScene.js:493 Car Position - X: 838, Y: 1150, Rotation: -60
QualifyingScene.js:493 Car Position - X: 835, Y: 1148, Rotation: -60
QualifyingScene.js:493 Car Position - X: 833, Y: 1147, Rotation: -60
QualifyingScene.js:493 Car Position - X: 830, Y: 1145, Rotation: -60
QualifyingScene.js:493 Car Position - X: 827, Y: 1144, Rotation: -60
QualifyingScene.js:493 Car Position - X: 825, Y: 1142, Rotation: -60
QualifyingScene.js:493 Car Position - X: 822, Y: 1140, Rotation: -60
QualifyingScene.js:493 Car Position - X: 792, Y: 1124, Rotation: -60
QualifyingScene.js:493 Car Position - X: 789, Y: 1122, Rotation: -60
QualifyingScene.js:493 Car Position - X: 787, Y: 1120, Rotation: -60
QualifyingScene.js:493 Car Position - X: 784, Y: 1119, Rotation: -60
QualifyingScene.js:493 Car Position - X: 781, Y: 1117, Rotation: -60
QualifyingScene.js:493 Car Position - X: 778, Y: 1115, Rotation: -60
QualifyingScene.js:493 Car Position - X: 775, Y: 1114, Rotation: -60
QualifyingScene.js:493 Car Position - X: 771, Y: 1112, Rotation: -60
QualifyingScene.js:493 Car Position - X: 733, Y: 1090, Rotation: -60
QualifyingScene.js:493 Car Position - X: 731, Y: 1088, Rotation: -60
QualifyingScene.js:493 Car Position - X: 728, Y: 1087, Rotation: -60
QualifyingScene.js:493 Car Position - X: 725, Y: 1085, Rotation: -60
QualifyingScene.js:493 Car Position - X: 722, Y: 1083, Rotation: -60
QualifyingScene.js:493 Car Position - X: 718, Y: 1081, Rotation: -60
QualifyingScene.js:493 Car Position - X: 715, Y: 1079, Rotation: -60
QualifyingScene.js:493 Car Position - X: 712, Y: 1077, Rotation: -60
QualifyingScene.js:493 Car Position - X: 708, Y: 1075, Rotation: -62
QualifyingScene.js:493 Car Position - X: 705, Y: 1073, Rotation: -65
QualifyingScene.js:493 Car Position - X: 701, Y: 1071, Rotation: -67
QualifyingScene.js:493 Car Position - X: 697, Y: 1070, Rotation: -69
QualifyingScene.js:493 Car Position - X: 693, Y: 1068, Rotation: -72
QualifyingScene.js:493 Car Position - X: 690, Y: 1066, Rotation: -74
QualifyingScene.js:493 Car Position - X: 649, Y: 1047, Rotation: -74
QualifyingScene.js:493 Car Position - X: 647, Y: 1046, Rotation: -74
QualifyingScene.js:493 Car Position - X: 644, Y: 1045, Rotation: -74
QualifyingScene.js:493 Car Position - X: 641, Y: 1044, Rotation: -74
QualifyingScene.js:493 Car Position - X: 638, Y: 1043, Rotation: -74
QualifyingScene.js:493 Car Position - X: 635, Y: 1043, Rotation: -74
QualifyingScene.js:493 Car Position - X: 632, Y: 1042, Rotation: -74
QualifyingScene.js:493 Car Position - X: 629, Y: 1041, Rotation: -74
QualifyingScene.js:493 Car Position - X: 625, Y: 1040, Rotation: -74
QualifyingScene.js:493 Car Position - X: 622, Y: 1039, Rotation: -74
QualifyingScene.js:493 Car Position - X: 618, Y: 1038, Rotation: -74
QualifyingScene.js:493 Car Position - X: 614, Y: 1037, Rotation: -74
QualifyingScene.js:493 Car Position - X: 610, Y: 1035, Rotation: -74
QualifyingScene.js:493 Car Position - X: 606, Y: 1034, Rotation: -74
QualifyingScene.js:493 Car Position - X: 602, Y: 1033, Rotation: -74
QualifyingScene.js:493 Car Position - X: 565, Y: 1022, Rotation: -74
QualifyingScene.js:493 Car Position - X: 561, Y: 1021, Rotation: -74
QualifyingScene.js:493 Car Position - X: 558, Y: 1020, Rotation: -74
QualifyingScene.js:493 Car Position - X: 554, Y: 1019, Rotation: -74
QualifyingScene.js:493 Car Position - X: 550, Y: 1018, Rotation: -74
QualifyingScene.js:493 Car Position - X: 545, Y: 1017, Rotation: -74
QualifyingScene.js:493 Car Position - X: 541, Y: 1016, Rotation: -74
QualifyingScene.js:493 Car Position - X: 537, Y: 1014, Rotation: -74
QualifyingScene.js:493 Car Position - X: 532, Y: 1013, Rotation: -74
QualifyingScene.js:493 Car Position - X: 528, Y: 1012, Rotation: -74
QualifyingScene.js:493 Car Position - X: 523, Y: 1010, Rotation: -74
QualifyingScene.js:493 Car Position - X: 518, Y: 1009, Rotation: -74
QualifyingScene.js:493 Car Position - X: 513, Y: 1007, Rotation: -74
QualifyingScene.js:493 Car Position - X: 508, Y: 1006, Rotation: -74
QualifyingScene.js:493 Car Position - X: 503, Y: 1005, Rotation: -74
QualifyingScene.js:493 Car Position - X: 497, Y: 1003, Rotation: -74
QualifyingScene.js:493 Car Position - X: 492, Y: 1001, Rotation: -74
QualifyingScene.js:493 Car Position - X: 486, Y: 1000, Rotation: -74
QualifyingScene.js:493 Car Position - X: 481, Y: 998, Rotation: -74
QualifyingScene.js:493 Car Position - X: 475, Y: 997, Rotation: -74
QualifyingScene.js:493 Car Position - X: 469, Y: 995, Rotation: -74
QualifyingScene.js:493 Car Position - X: 463, Y: 993, Rotation: -74
QualifyingScene.js:493 Car Position - X: 457, Y: 991, Rotation: -74
QualifyingScene.js:493 Car Position - X: 451, Y: 990, Rotation: -74
QualifyingScene.js:493 Car Position - X: 444, Y: 988, Rotation: -74
QualifyingScene.js:493 Car Position - X: 438, Y: 986, Rotation: -74
QualifyingScene.js:493 Car Position - X: 431, Y: 984, Rotation: -74
QualifyingScene.js:493 Car Position - X: 425, Y: 982, Rotation: -74
QualifyingScene.js:493 Car Position - X: 418, Y: 980, Rotation: -74
QualifyingScene.js:493 Car Position - X: 411, Y: 978, Rotation: -74
QualifyingScene.js:493 Car Position - X: 404, Y: 976, Rotation: -74
QualifyingScene.js:493 Car Position - X: 397, Y: 974, Rotation: -74
QualifyingScene.js:493 Car Position - X: 389, Y: 972, Rotation: -72
QualifyingScene.js:493 Car Position - X: 382, Y: 970, Rotation: -70
QualifyingScene.js:493 Car Position - X: 375, Y: 967, Rotation: -68
QualifyingScene.js:493 Car Position - X: 368, Y: 965, Rotation: -66
QualifyingScene.js:493 Car Position - X: 361, Y: 962, Rotation: -63
QualifyingScene.js:493 Car Position - X: 354, Y: 959, Rotation: -61
QualifyingScene.js:493 Car Position - X: 347, Y: 956, Rotation: -59
QualifyingScene.js:493 Car Position - X: 341, Y: 952, Rotation: -59
QualifyingScene.js:493 Car Position - X: 153, Y: 841, Rotation: -59
QualifyingScene.js:493 Car Position - X: 150, Y: 839, Rotation: -59
QualifyingScene.js:493 Car Position - X: 147, Y: 837, Rotation: -59
QualifyingScene.js:493 Car Position - X: 144, Y: 835, Rotation: -59
QualifyingScene.js:493 Car Position - X: 141, Y: 834, Rotation: -59
QualifyingScene.js:493 Car Position - X: 138, Y: 832, Rotation: -59
QualifyingScene.js:493 Car Position - X: 135, Y: 830, Rotation: -59
QualifyingScene.js:493 Car Position - X: 68, Y: 790, Rotation: -59
QualifyingScene.js:493 Car Position - X: 66, Y: 789, Rotation: -59
QualifyingScene.js:493 Car Position - X: 24, Y: 764, Rotation: -57
QualifyingScene.js:493 Car Position - X: 23, Y: 763, Rotation: -55
QualifyingScene.js:493 Car Position - X: 21, Y: 762, Rotation: -52
QualifyingScene.js:493 Car Position - X: 19, Y: 762, Rotation: -50
QualifyingScene.js:493 Car Position - X: 18, Y: 761, Rotation: -47
QualifyingScene.js:493 Car Position - X: 17, Y: 760, Rotation: -45
QualifyingScene.js:493 Car Position - X: 15, Y: 759, Rotation: -43
QualifyingScene.js:493 Car Position - X: 14, Y: 758, Rotation: -40
QualifyingScene.js:493 Car Position - X: -10, Y: 744, Rotation: -38
QualifyingScene.js:493 Car Position - X: -11, Y: 744, Rotation: -35
QualifyingScene.js:493 Car Position - X: -11, Y: 743, Rotation: -33
QualifyingScene.js:493 Car Position - X: -12, Y: 743, Rotation: -31
QualifyingScene.js:493 Car Position - X: -13, Y: 743, Rotation: -28
QualifyingScene.js:493 Car Position - X: -13, Y: 742, Rotation: -26
QualifyingScene.js:493 Car Position - X: -14, Y: 742, Rotation: -23
QualifyingScene.js:493 Car Position - X: -14, Y: 742, Rotation: -21
QualifyingScene.js:493 Car Position - X: -23, Y: 737, Rotation: -18
QualifyingScene.js:493 Car Position - X: -23, Y: 737, Rotation: -16
QualifyingScene.js:493 Car Position - X: -23, Y: 736, Rotation: -13
QualifyingScene.js:493 Car Position - X: -24, Y: 736, Rotation: -11
QualifyingScene.js:493 Car Position - X: -24, Y: 736, Rotation: -9
QualifyingScene.js:493 Car Position - X: -24, Y: 736, Rotation: -6
QualifyingScene.js:493 Car Position - X: -28, Y: 733, Rotation: -6
2QualifyingScene.js:493 Car Position - X: -29, Y: 733, Rotation: -6
2QualifyingScene.js:493 Car Position - X: -29, Y: 732, Rotation: -6
QualifyingScene.js:493 Car Position - X: -29, Y: 731, Rotation: -6
QualifyingScene.js:493 Car Position - X: -29, Y: 730, Rotation: -6
QualifyingScene.js:493 Car Position - X: -29, Y: 729, Rotation: -6
QualifyingScene.js:493 Car Position - X: -29, Y: 728, Rotation: -6
QualifyingScene.js:493 Car Position - X: -29, Y: 727, Rotation: -6
QualifyingScene.js:493 Car Position - X: -29, Y: 726, Rotation: -6
QualifyingScene.js:493 Car Position - X: -30, Y: 724, Rotation: -6
QualifyingScene.js:493 Car Position - X: -30, Y: 723, Rotation: -6
QualifyingScene.js:493 Car Position - X: -30, Y: 721, Rotation: -6
QualifyingScene.js:493 Car Position - X: -30, Y: 719, Rotation: -6
QualifyingScene.js:493 Car Position - X: -30, Y: 717, Rotation: -6
QualifyingScene.js:493 Car Position - X: -31, Y: 715, Rotation: -6
QualifyingScene.js:493 Car Position - X: -31, Y: 713, Rotation: -6
QualifyingScene.js:493 Car Position - X: -31, Y: 711, Rotation: -6
QualifyingScene.js:493 Car Position - X: -31, Y: 708, Rotation: -6
QualifyingScene.js:493 Car Position - X: -32, Y: 706, Rotation: -6
QualifyingScene.js:493 Car Position - X: -33, Y: 690, Rotation: -4
QualifyingScene.js:493 Car Position - X: -34, Y: 687, Rotation: -1
QualifyingScene.js:493 Car Position - X: -34, Y: 685, Rotation: 1
QualifyingScene.js:493 Car Position - X: -34, Y: 683, Rotation: 3
QualifyingScene.js:493 Car Position - X: -38, Y: 641, Rotation: 3
QualifyingScene.js:493 Car Position - X: -39, Y: 640, Rotation: 3
QualifyingScene.js:493 Car Position - X: -39, Y: 638, Rotation: 3
QualifyingScene.js:493 Car Position - X: -38, Y: 637, Rotation: 3
QualifyingScene.js:493 Car Position - X: -38, Y: 635, Rotation: 3
QualifyingScene.js:493 Car Position - X: -38, Y: 633, Rotation: 3
QualifyingScene.js:493 Car Position - X: -38, Y: 631, Rotation: 3
QualifyingScene.js:493 Car Position - X: -38, Y: 629, Rotation: 3
QualifyingScene.js:493 Car Position - X: -38, Y: 627, Rotation: 3
QualifyingScene.js:493 Car Position - X: -36, Y: 601, Rotation: 3
QualifyingScene.js:493 Car Position - X: -36, Y: 599, Rotation: 3
QualifyingScene.js:493 Car Position - X: -36, Y: 597, Rotation: 3
QualifyingScene.js:493 Car Position - X: -36, Y: 595, Rotation: 3
QualifyingScene.js:493 Car Position - X: -36, Y: 593, Rotation: 3
QualifyingScene.js:493 Car Position - X: -36, Y: 590, Rotation: 3
